City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1197,bhilai,IN,21.2167,81.4333,58.84,43,0,0.16,clear sky
1198,hithadhoo,MV,-0.6,73.0833,80.1,67,2,5.84,clear sky
1199,burayevo,RU,55.8407,55.4083,-6.21,90,100,5.59,light snow
1200,wuwei,CN,37.9281,102.6414,20.77,70,0,2.35,clear sky
1201,ullal,IN,12.8,74.85,77.0,88,20,6.31,mist
1202,malanje,AO,-9.5402,16.341,63.72,83,100,4.83,overcast clouds
1203,bichura,RU,50.5881,107.6022,1.69,87,66,2.95,broken clouds
1204,san vicente,AR,-26.6167,-54.1333,70.2,74,27,4.03,light rain
1205,launceston,AU,-41.45,147.1667,60.01,41,40,11.5,scattered clouds
1206,macia,MZ,-25.0269,33.0989,72.36,85,78,6.71,broken clouds
1207,broome,US,42.2506,-75.833,30.0,80,90,5.75,overcast clouds
1208,peterhead,GB,57.5058,-1.7981,35.01,93,81,2.3,broken clouds
1209,narbonne,FR,43.0833,2.8333,35.01,69,0,3.2,clear sky
1210,mount isa,AU,-20.7333,139.5,89.6,37,0,11.5,clear sky
1211,zyryanovsk,KZ,49.7386,84.2719,10.63,86,100,1.21,overcast clouds
1212,zaysan,KZ,47.4667,84.8667,6.13,81,78,1.1,broken clouds
1213,sri aman,MY,1.2376,111.4621,73.4,100,100,1.14,overcast clouds
1214,san policarpo,PH,12.1791,125.5072,77.61,93,100,21.36,heavy intensity rain
1215,shubarkuduk,KZ,49.1447,56.4872,12.27,94,100,12.46,overcast clouds
1216,marogong,PH,7.6667,124.15,72.1,86,99,2.66,overcast clouds
1217,kefamenanu,ID,-9.4467,124.4781,72.28,90,100,2.26,light rain
1218,yerbogachen,RU,61.2767,108.0108,-23.39,85,100,10.13,overcast clouds
1219,moundou,TD,8.5667,16.0833,72.5,21,4,5.61,clear sky
1220,synevyr,UA,48.4875,23.6258,6.4,92,92,2.51,overcast clouds
1221,mae hong son,TH,19.3003,97.9685,60.78,72,29,2.17,scattered clouds
1222,kandava,LV,57.0409,22.7747,22.51,98,100,7.14,light snow
1223,sesheke,ZM,-17.4759,24.2968,68.47,90,100,4.81,light rain
1224,namtsy,RU,62.7161,129.6658,-63.4,50,90,1.95,fog
1225,marzuq,YE,14.4,46.4667,56.88,33,0,2.84,clear sky
1226,ntcheu,MW,-14.8203,34.6359,65.93,94,100,0.65,overcast clouds
1227,carbonia,IT,39.1672,8.5222,46.99,93,20,2.3,few clouds
1228,rorvik,NO,64.8621,11.2373,33.46,89,0,12.95,clear sky
1229,sur,OM,22.5667,59.5289,68.09,59,0,3.13,clear sky
1230,balaipungut,ID,1.05,101.2833,73.4,94,20,2.33,few clouds
1231,robe,AU,-37.1833,139.75,59.65,67,8,13.62,clear sky
1232,basco,PH,20.4487,121.9702,70.5,81,100,31.03,overcast clouds
1233,manbij,SY,36.5281,37.9549,35.6,93,90,8.05,snow
1234,pavlodar,KZ,52.3,76.95,-9.4,84,20,2.24,few clouds
1235,temirtau,KZ,50.0544,72.9483,-5.8,84,0,4.47,clear sky
1236,lasa,IT,46.6166,10.7002,26.01,85,0,6.91,clear sky
1237,veraval,IN,20.9,70.3667,69.17,38,0,9.37,clear sky
1238,raha,IN,26.2333,92.5167,61.66,68,33,5.12,scattered clouds
1239,atamanovka,RU,51.93,113.63,-22.0,69,89,4.47,overcast clouds
1240,haimen,CN,23.1935,116.6142,44.6,81,21,2.24,few clouds
1241,aykhal,RU,66.0,111.5,-50.94,75,38,4.47,scattered clouds
1242,yakeshi,CN,49.2833,120.7333,-22.13,84,89,2.42,overcast clouds
1243,port moresby,PG,-9.4431,147.1797,84.2,84,40,11.5,scattered clouds
1244,vanimo,PG,-2.6741,141.3028,81.79,74,99,4.23,light rain
1245,besikduzu,TR,41.052,39.2284,37.4,65,40,8.05,scattered clouds
1246,khor,RU,47.8861,134.9464,-17.48,86,68,12.06,broken clouds
1247,verkhnevilyuysk,RU,63.4453,120.3167,-50.4,76,56,4.7,broken clouds
1248,butembo,CD,0.15,29.2833,61.2,67,82,2.73,broken clouds
1249,debre tabor,ET,11.85,38.0167,50.27,46,2,5.28,clear sky
1250,garmsar,IR,35.2182,52.3409,47.08,53,0,11.3,clear sky
1251,jinchang,CN,38.4953,102.1739,20.5,68,0,0.81,clear sky
1252,jamame,SO,0.0722,42.7506,74.12,82,73,7.29,broken clouds
